name,region,sub-region,,alpha-3
Afghanistan,Asia,Southern Asia,,AFG
Åland Islands,Europe,Northern Europe,,ALA
Albania,Europe,Southern Europe,,ALB
Algeria,Africa,Northern Africa,,DZA
American Samoa,Oceania,Polynesia,,ASM
Andorra,Europe,Southern Europe,,AND
Angola,Africa,Sub-Saharan Africa,,AGO
Anguilla,Americas,Latin America and the Caribbean,,AIA
Antarctica,,,,ATA
Antigua and Barbuda,Americas,Latin America and the Caribbean,,ATG
Argentina,Americas,Latin America and the Caribbean,,ARG
Armenia,Asia,Western Asia,,ARM
Aruba,Americas,Latin America and the Caribbean,,ABW
Australia,Oceania,Australia and New Zealand,,AUS
Austria,Europe,Western Europe,,AUT
Azerbaijan,Asia,Western Asia,,AZE
Bahamas,Americas,Latin America and the Caribbean,,BHS
Bahrain,Asia,Western Asia,,BHR
Bangladesh,Asia,Southern Asia,,BGD
Barbados,Americas,Latin America and the Caribbean,,BRB
Belarus,Europe,Eastern Europe,,BLR
Belgium,Europe,Western Europe,,BEL
Belize,Americas,Latin America and the Caribbean,,BLZ
Benin,Africa,Sub-Saharan Africa,,BEN
Bermuda,Americas,Northern America,,BMU
Bhutan,Asia,Southern Asia,,BTN
Bolivia,Americas,Latin America and the Caribbean,,BOL
"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean,,BES
Bosnia And Herzegovina,Europe,Southern Europe,,BIH
Botswana,Africa,Sub-Saharan Africa,,BWA
Bouvet Island,Americas,Latin America and the Caribbean,,BVT
Brazil,Americas,Latin America and the Caribbean,,BRA
British Indian Ocean Territory,Africa,Sub-Saharan Africa,,IOT
Brunei Darussalam,Asia,South-eastern Asia,,BRN
Bulgaria,Europe,Eastern Europe,,BGR
Burkina Faso,Africa,Sub-Saharan Africa,,BFA
Burundi,Africa,Sub-Saharan Africa,,BDI
Cabo Verde,Africa,Sub-Saharan Africa,,CPV
Cambodia,Asia,South-eastern Asia,,KHM
Cameroon,Africa,Sub-Saharan Africa,,CMR
Canada,Americas,Northern America,,CAN
Cayman Islands,Americas,Latin America and the Caribbean,,CYM
Central African Republic,Africa,Sub-Saharan Africa,,CAF
Chad,Africa,Sub-Saharan Africa,,TCD
Chile,Americas,Latin America and the Caribbean,,CHL
China,Asia,Eastern Asia,,CHN
Christmas Island,Oceania,Australia and New Zealand,,CXR
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,,CCK
Colombia,Americas,Latin America and the Caribbean,,COL
Comoros,Africa,Sub-Saharan Africa,,COM
Congo,Africa,Sub-Saharan Africa,,COG
Congo (Democratic Republic Of The),Africa,Sub-Saharan Africa,,COD
Cook Islands,Oceania,Polynesia,,COK
Costa Rica,Americas,Latin America and the Caribbean,,CRI
